r,parity_prefix_int,parity_prefix_bin,popcount
11759,613103,10010101101011101111,13
11775,420351,01100110100111111111,14
11903,737151,10110011111101111111,16
11931,1022843,11111001101101111011,15
11935,189919,00101110010111011111,13
11983,741327,10110100111111001111,14
12015,588271,10001111100111101111,14
12031,110335,00011010111011111111,14
12123,319163,01001101111010111011,13
12135,327671,01001111111111110111,16
12191,629983,10011001110011011111,13
12223,223679,00110110100110111111,13
12287,503807,01111010111111111111,17
12315,633595,10011010101011111011,13
12335,241071,00111010110110101111,13
12359,622295,10010111111011010111,14
12399,454511,01101110111101101111,15
12447,1046495,11111111011111011111,18
12455,495543,01111000111110110111,14
12527,177135,00101011001111101111,13
12539,950235,11100111111111011011,16
12607,671551,10100011111100111111,14
12703,973535,11101101101011011111,15
